gender;fio;doc
выступил;Костин Владимир Алексеевич;Операторные косинус-функции и кумулятивный эффект
выступил;Алхутов Юрий Александрович;Оценка типа Мейерса решения задачи Зарембы для дивергентных эллиптических уравнений второго порядка
выступил;Чечкин Григорий Александрович;Оценка типа Мейерса решения задачи Зарембы для дивергентных эллиптических уравнений второго порядка
выступил;Сабитов Камиль Басирович;Обратные задачи по отысканию правой части телеграфного уравнения
выступил;Ломов Игорь Сергеевич;Новый подход в применении метода Фурье к решению смешанных задач для уравнений математической физики
выступил;Хабибуллин Булат Нурмиевич;Распределение корней и рост целых функций экспоненциального типа
выступил;Фёдоров Владимир Евгеньевич;Аналитические разрешающие семейства операторов уравнения с распределенной производной Римана - Лиувилля
выступил;Кибкало Владислав Александрович;Топология интегрируемых систем с некомпактными слоениями: примеры и инварианты
выступил;Ляхов Лев Николаевич;Скрытая сферическая симметрия и размерности поколений кривой Кох
выступил;Семёнов Владимир Викторович;Новые алгоритмы экстраградиентного типа для вариационных неравенств
выступил;Шубарин Михаил Александрович;Степенные пространства Кёте. Изоморфизмы 'больших' семейств
выступил;Гликлих Юрий Евгеньевич;Стохастический Лагранжев подход к вязкой гидродинамике
выступил;Кокурин Михаил Юрьевич;Асимметричные произведения гармонических функций и обратные задачи для волнового уравнения в непереопределенной постановке
выступил;Васильев Владимир Борисович;Эллиптические уравнения и краевые задачи в областях с негладкой границей
выступил;Лобода Александр Васильевич;О 4-мерных представлениях 3-мерных алгебр Ли
