gender;fio;doc
выступил;Перескоков Александр Вадимович;Об асимптотике спектра оператора типа Хартри с экранированным кулоновским потенциалом самодействия вблизи верхних границ спектральных кластеров
выступила;Фоменко Татьяна Николаевна;Нули функционалов и параметрическая теорема Майкла о сечениях
выступила;Онуфриенко Мария Викторовна;Бифуркации критических точек гладких инвариантных функций: классификация и приложение к интегрируемым системам
выступил;Горденин Леонид Владимирович;Специальные случаи частично проективных кватернионных многообразий Штифеля
выступил;Лобзин Федор Игоревич;Построение многочленов в биинволюции для сингулярных элементов коалгебры Ли
выступил;Пономарёв Владимир Владимирович;Связь между кольцом Ad*-инвариантных полиномов и инвариантами Жордана-Кронекера нильпотентных алгебр Ли размерности меньшей или равной семи
выступил;Акпан Динмухаммед Жулдызбайулы;Маломерные операторы Нийенхейса и их особенности
выступил;Илолов Мамадшо Илолович;Дробные дифференциальные уравнения Балакришнана
выступил;Орлов Владимир Петрович;О слабой разрешимости моделей динамики вязкоупругой жидкости высокого порядка
выступил;Богомолов Сергей Владимирович;Стохастическое уравнение Больцмана и газодинамическая иерархия
выступил;Дженалиев Мувашархан Танабаевич;Об одной обратной задаче для линеаризованной двумерной системы Навье-Стокса
выступил;Ерохин Владимир Иванович;Обратная задача нахождения кеплеровых элементов орбиты космического объекта по наблюдениям
выступил;Миронов Алексей Николаевич;Задача типа Дарбу для одной гиперболической системы с кратными характеристиками
выступил;Кибкало Владислав Александрович;Локальная гипотеза Фоменко: комбинация базы слоения и метки n
выступила;Ведюшкина Виктория Викторовна;Локальная гипотеза Фоменко: комбинация базы слоения и метки n
выступила;Кузнецова Анастасия Андреевна;Примеры моделирования вырожденных особенностей интегрируемых гамильтоновых систем биллиардными книжками
выступила;Зайцева Анастасия Владимировна;Топология слоения Лиувилля биллиарда в параболе
выступил;Пальшин Глеб Павлович;Augmented bifurcation diagram in one problem of vortex dynamics
выступил;Завьялов Владимир Николаевич;Моделирование квадратично интегрируемых геодезических потоков биллиардами с проскальзыванием
выступил;Пустовойтов Сергей Евгеньевич;Интегрируемый топологический биллиард в магнитном поле
выступил;Пономарёв Владимир Владимирович;Связь между кольцом Ad*-инвариантных полиномов и инвариантами Жордана-Кронекера нильпотентных алгебр Ли размерности меньшей или равной семи
выступил;Хоанг Ван Нгуен;Счетная устойчивость слабого решения дифференциально-разностной параболической системы с распределенными параметрами на графе
выступил;Пискарев Сергей Игоревич;Convergence rate when approximating fractional equations
выступила;Зубова Светлана Петровна;Управление динамической системой с частными производными
выступил;Кокурин Михаил Михайлович;Оценка точности метода Тихонова в применении к некорректным экстремальным задачам
выступил;Петросян Гарик Гагикович;О разрешимости задачи Коши для дифференциальных включений дробного порядка 1<q<2 с почти полунепрерывним снизу мультиоператором
выступил;Солиев Юнус Солиевич;Об аппроксимации преобразования Гильберта
выступил;Савин Антон Юрьевич;О нелокальных эллиптических краевых задачах, ассоциированных с бесконечными группами преобразований
выступила;Колмыкова Екатерина Владиславовна;Об операторе приращения, действующем на пространствах графовых функций
выступила;Кошербай Жаннур Мухамедияркызы;Solvability of a heat boundary value problem in a degenerating domain in Sobolev spaces
выступил;Асхабов Султан Нажмудинович;Краевые задачи для нелинейных сингулярных интегро-дифференциальных уравнений с ядром Коши
выступил;Хацкевич Владимир Львович;О некоторых свойствах нечетких средних
выступил;Атанов Артем Викторович;Примеры однородных индефинитно-вырожденных гиперповерхностей в R4
выступил;Нгуен Тхи Тхюи Зыонг;Примеры однородных индефинитно-вырожденных гиперповерхностей в R4
выступил;Белозеров Глеб Владимирович;Биллиард внутри трёхосного эллипсоида с потенциалом Гука
выступил;Елисеев Александр Георгиевич;Регуляризованная асимптотика решения задачи Коши системы ОДУ при наличии слабой точки поворота у предельного оператора
выступила;Ефанова Наталия Дмитриевна;Расчёт локализованных состояний в модели решётки Дирака
выступила;Трусова Наталья Ивановна;Уравнения Фредгольма в пространстве функций со смешанными нормами
выступила;Никитина Светлана Анатольевна;Об одном способе анализа состояния материальных запасов предприятия на основе нечеткой информации о затратах
выступила;Устюжанинова Анастасия Сергеевна;Теорема существования слабого решения задачи оптимального управления с обратной связью для модифицированной модели Кельвина-Фойгта
выступил;Строганов Андрей Игоревич;Создание алгоритма поиска научных статей COVID-19
выступил;Литвинов Владислав Львович;Mathematical modeling of nonlinear vibrations of a rope with a moving boundary
выступила;Лошкарева Елена Анатольевна;Об использовании метода параметрических обобщенных степеней для построения решений одного класса дифференциальных уравнений
выступил;Степович Михаил Адольфович;О некоторых моделях тепломассопереноса
выступила;Космакова Минзиля Тимербаевна;Solvability of a heat boundary value problem in a degenerating domain in Sobolev spaces
выступил;Шамолин Максим Владимирович;Тензорные инварианты динамических систем с диссипацией с двумя степенями свободы
выступил;Булатов Юрий Николаевич;Функция Грина для сингулярного оператора Киприянова
выступила;Василенко Полина Максимовна;Слабая разрешимость начально-краевой задачи для параболического уравнения в классе суммируемых на графе функций
выступила;Баталова София Андреевна;Разрешимость дифференциально-разностной системы параболического типа с распределенными параметрами на графе
выступила;Лушина Екатерина Александровна;О характеристике плоских множеств с целочисленными расстояниями с ребром 1, 2 или 3
выступила;Момот Екатерина Александровна;Разработка ПО для сжатия с потерями фотографий печатного и рукописного текста
выступил;Зволинский Роман Евгеньевич;О подпространстве почти сходящихся последовательностей
выступила;Пеливан Виктория;Построение кусочно-линейного контура области с близкими значениями пикселей на 2D-изображении
выступил;Авдеев Николай Николаевич;Обобщение предела и мультипликативные свойства носителя последовательности
